Building Name,Building Type,Latitude,Longitude,Connected Nodes
Union South,B;,43.07183869,-89.40812631,
Akasha House,B;,43.07308778,-89.41520419,6775163-20;6775163-21;6775163-22;6775163-23;6775163-24;6775163-25;670963722-3;299558357-1;299558357-2;299558357-3;421684023-1;421684023-2;421684023-3;382212471-4;495016701-3;495016701-4;382196373-2;382196373-3;382196373-4;299558347-1;299558347-2;299558347-3;299558334-1;299558330-1;299558330-2;299558330-3;299558345-1;382212467-1;382212467-2;382212467-3;382211701-3;382211701-4;366244823-9;382212473-1;700376919-1;700376919-2
UW Foundation,B;,43.07362946,-89.41737671,495016699-5;495016700-1;495016700-2;495016703-3;495016703-4;299558338-1;299558338-2;299558352-5;299558343-1;299558343-2
Muscle & Meat Science Research Laboratory,B;,43.07453802,-89.41640897,670944322-1;670944322-2;670944322-3;670944322-4;670944322-5;38287391-2;38287391-15;38287391-16;38287391-17;38287391-18;38287391-19;38287391-20;38287391-21;38287391-22;38263366-9;38263366-10;38263355-1;38263355-2;562296277-4;562296277-5;562296277-6;562296277-7;562296277-8;722471860-8;722471860-9;722471860-10;722471860-11;722471860-12;722471860-13;722471860-14;722471860-15;722471860-16;403187760-5;403187760-6
Enzyme Institute,B;,43.07375033,-89.41539161,6724188-12;295143802-1;295143802-2;295143802-3;38342351-1;38342351-2;38342351-3;299558335-1;299558335-2;382196373-1;382196373-2;299558353-2;299558353-3;299558353-4;299558353-5;38287391-1;366244823-9;366244823-10;178375770-2;178375770-3;178375770-4;178375770-5;178375770-6
Great Beginnings,B;,43.07274995,-89.41470641,385379966-1;6775163-16;6775163-17;6775163-18;6775163-19;6775163-20;6775163-21;385380060-2;385380060-3;385380060-4;6668001-1;6668001-2;385379968-1;385380023-1;385380023-2;385380023-3;299558357-4;385379961-1;385379973-1;385379973-2;385379973-3;299558348-1;299558348-2;299558348-3;385379992-1;385379992-2;385379992-3;299558336-1;299558336-2;299558347-1;299558347-2;299558347-3;299558334-1;299558334-2;299558330-2;299558330-3;299558330-4;299558345-1;299558345-2;299558345-3;299558345-4;299558345-5;562292016-1;562292016-2;562292015-1;562292015-2;299558344-2;299558344-3
Engineering Centers Building,B;,43.07271783,-89.41336819,175330823-4;6684736-4
Mechanical Engineering Building,B;,43.07279863,-89.41247003,6684736-4;295320009-2;295320007-2
1610 University Ave.,B;,43.07366654,-89.41471864,University & N Breese (WB);6775163-23;6775163-24;6775163-25;6775163-26;299558357-1;382212471-4;495016701-3;495016701-4;382196373-1;382196373-2;382196373-3;382196373-4;299558353-6;299558330-1;382212467-1;382212467-2;382212467-3;382211701-1;382211701-2;382211701-3;382211701-4;366244823-4;366244823-5;366244823-6;366244823-7;366244823-8;366244823-9;299558333-1;299558333-2;382212473-1;382212473-2;700376919-1;700376919-2;700376919-3;700376919-4;178375770-6;178375770-7;178375770-8;178375770-9;178375770-10;178375770-11;299558342-1;299558342-2;299558342-3;299558342-4
Wisconsin Energy Institute,B;,43.07373596,-89.41398733,University & N Breese (WB);6724188-16;6724188-17;299558353-6;700445178-3;366244823-1;366244823-2;366244823-3;366244823-4;382212473-3;700376919-5;700376919-6;700376919-7;700376919-8;178375770-8;178375770-9;178375770-10;178375770-11;178375770-12;178375770-13;299558342-3;299558342-4;382211476-1;382211476-2;382211476-3;700376920-1;700376920-2;295320023-3;295320023-4;295320023-5;700405177-1;700405177-2;458185184-1;458185184-2;458185184-3;355176323-6;355176323-7;355176323-8;295042232-1;295042232-2;628212012-5;628212012-6
Dairy Cattle Instruction & Research Center,B;,43.07487606,-89.41711864,295143795-10;295143795-11;295143795-12;175115949-1;175115949-2;175115949-3;175115949-4;670944322-3;670944322-4;383011073-1;383011073-2;6771167-1;6771167-2;6771167-3;6771167-4;6771167-5;6771167-6;6771167-7;6771167-8;6771167-9;6771167-10;6771167-11;6771167-12;6771167-13;6771167-14;6771167-15;6771167-16;6771167-17;6771167-18;6771167-19;6771167-20;6771167-21;6771167-22;38263355-6;295143803-1;295143803-2;38263365-7;175115950-1
Livestock Laboratory,B;,43.07578684,-89.41686991,6668788-7;6668788-8;6668788-9;385381138-3;175115950-3;175115950-4;385381139-1;385381139-2;385381139-3;37748536-5;37748536-6;37748536-7;37748536-8;491002036-6;385381150-1;385381150-2;385381150-3;37748531-6;37748531-7;37748531-8;37748531-9;37748531-10;37748531-11
Stock Pavilion,B;,43.07487905,-89.41516609,722471860-1;38263356-1;38263356-2;38263356-3;37965088-1;37965088-2;37965087-1;37965087-2;37965086-1;37965086-2;175334816-2;175334816-3;175334816-4;175334816-5;175334816-6;175334816-7;175334816-8;382211475-4;37662336-1;189598204-8;189598204-9;189598204-10;189598204-11
Horse Barn,B;,43.07540457,-89.41616468,6668788-1;6668788-2;6668788-3;6668788-4;6668788-5;6668788-6;6668788-7;6668788-8;38263355-4;38263355-5;38263365-1;38263365-2;38263365-3;38263365-6;37748536-1;37748536-2;37748536-3;37748536-4;37748536-5;37748536-6;385381150-3;385381150-4;385381150-5;385381150-6;385381150-7;385381150-8;385381150-9;37748531-1;37748531-2;175334816-11;175334816-12;175334816-13;175334816-14;175334816-15;175334816-16;754886582-1;754886582-2;754886582-3;754886582-4;382211463-1;382211463-2;382211463-3;382195760-2;382195760-3;37691880-1;37691880-2;37691880-3;6642396-5;6642396-6;6642396-7;189598204-1;189598204-2;189598204-3;189598204-4;189598204-5
Agricultural Engineering Laboratory,B;,43.07613909,-89.41656376,Elm & Observatory (SB);Observatory & Elm (EB);295042215-2;37748531-3;37748531-4;37748531-5;37748531-6;37748531-7;37748531-8;37748531-9;37748531-10;382201491-4;382201491-5
Animal Science Building,B;,43.07613859,-89.41525116,382195762-1;175133496-1;295042224-2;37659268-20
Hanson Biomedical Sciences Building,B;,43.07570894,-89.41500189,382211475-1;382211475-2;382195762-1;382195762-2;382195762-3;382195762-4;175133496-1;175133496-2;175133496-3;37965089-2;37965089-3;37965089-4;295042222-2;6622049-3;6622049-4
Russell Laboratories,B;,43.07549151,-89.41369411,37662336-4;37662336-5;295042223-1;295042223-2;295042222-1;175133502-1;175133502-2;412587816-1;412587816-2;174361004-1;174361004-2;174361004-3;6622049-7;6622049-8;6622049-9
Babcock Hall,B;,43.07487026,-89.41353815,670945436-1;670945435-1;175334819-2;6610645-7;6610645-8;6610645-9;6610645-10;37662336-5;382211455-7;382211459-1;174361004-1
Lot 36 - Observatory Drive Ramp,B;K;,43.07593871,-89.41410717,175133496-2;175133496-3;37965089-3;37965089-4;305439321-1;305439321-2;295042222-1;305439322-1;305439322-2;175133502-1;175133502-2;412587816-1;295042217-1;295042217-2;295042217-8;295042217-9;295042217-10;295042217-11;6622049-3;6622049-4;6622049-5;6622049-6;6622049-7;6622049-8;6622049-9;295042218-1
Cole Hall,B;,43.07737374,-89.41498787,175334820-2;175334820-3;175334820-4;175334820-5;175334820-6;38226224-1;38226224-2;38226224-3;38226224-4;38226224-5;38226224-6;38226224-7;38226224-8;38226224-9;38226224-10;38226224-11;193571971-1;295182997-4;295182997-5;295182997-6;295182997-7;295182997-8;295182997-9;295182997-10;305490227-1;305490227-2;305490227-3;305490227-4;305490226-1;305490226-2;305490226-3;299177078-1;38226229-1;38226229-2;38226220-1;38226220-2;38226226-1;265062338-1
Steenbock Memorial Library,B;L;,43.07606874,-89.41342894,412587816-1;412587816-2;37722923-1;37722923-2;37722923-3;37722923-4;6622049-8;6622049-9;6622049-10;295042219-2;295042220-2;37722922-2
